Dates,Canadian Dollar ($CADUSD) - Rate Value,Canada Prime Rate (%PRC1) - Rate Value,United States Prime Rate - Rate Value,Prime Rate Difference,Prime Rate Difference Percentage
1984-08-14,1.31,13.0,13.0,0.0,0.0
1984-08-15,1.3,13.0,13.0,0.0,0.0
1984-08-16,1.3,13.0,13.0,0.0,0.0
1984-08-17,1.3,13.0,13.0,0.0,0.0
1984-08-20,1.3,13.0,13.0,0.0,0.0
1984-08-21,1.3,13.0,13.0,0.0,0.0
1984-08-22,1.3,13.0,13.0,0.0,0.0
1984-08-23,1.3,13.0,13.0,0.0,0.0
1984-08-24,1.3,13.0,13.0,0.0,0.0
1984-08-27,1.3,13.0,13.0,0.0,0.0
1984-08-28,1.3,13.0,13.0,0.0,0.0
1984-08-29,1.3,13.0,13.0,0.0,0.0
1984-08-30,1.3,13.0,13.0,0.0,0.0
1984-08-31,1.3,13.0,13.0,0.0,0.0
1984-09-04,1.3,13.0,13.0,0.0,0.0
1984-09-05,1.3,13.0,13.0,0.0,0.0
1984-09-06,1.31,13.0,13.0,0.0,0.0
1984-09-07,1.32,13.0,13.0,0.0,0.0
1984-09-10,1.31,13.0,13.0,0.0,0.0
1984-09-11,1.32,13.0,13.0,0.0,0.0
1984-09-12,1.31,13.0,13.0,0.0,0.0
1984-09-13,1.32,13.0,13.0,0.0,0.0
1984-09-14,1.31,13.0,13.0,0.0,0.0
1984-09-17,1.32,13.0,13.0,0.0,0.0
1984-09-18,1.32,13.0,13.0,0.0,0.0
1984-09-19,1.32,13.0,13.0,0.0,0.0
1984-09-20,1.32,13.0,13.0,0.0,0.0
1984-09-21,1.32,13.0,13.0,0.0,0.0
1984-09-24,1.32,13.0,13.0,0.0,0.0
1984-09-25,1.32,13.0,13.0,0.0,0.0
1984-09-26,1.32,13.0,13.0,0.0,0.0
1984-09-27,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-09-28,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-01,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-02,1.31,13.0,12.75,0.25,-0.019230769230769273
1984-10-03,1.31,13.0,12.75,0.25,-0.019230769230769273
1984-10-04,1.31,13.0,12.75,0.25,-0.019230769230769273
1984-10-05,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-09,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-10,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-11,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-12,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-15,1.32,13.0,12.75,0.25,-0.019230769230769273
1984-10-16,1.33,13.0,12.75,0.25,-0.019230769230769273
1984-10-17,1.33,13.0,12.5,0.5,-0.038461538461538436
1984-10-18,1.33,13.0,12.5,0.5,-0.038461538461538436
1984-10-19,1.32,13.0,12.5,0.5,-0.038461538461538436
1984-10-22,1.32,13.0,12.5,0.5,-0.038461538461538436
1984-10-23,1.32,13.0,12.5,0.5,-0.038461538461538436
1984-10-24,1.32,13.0,12.5,0.5,-0.038461538461538436
